date,price,domestic,Thailand,us_price,consumption,CPI,consumer_price_growth_rate,food_non_alcoholic_beverages,Liquor_tobacco,clothes_shoes,housing_water_electricity_fuel,household_goods_housekeeping_services,sanitation,traffic,communication,entertainment_culture,education,food_accommodation,other_goods_services,export,import,world_production,total
2000-01,42070,1220.34,247.5,0.499,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,0,43034642,2.626256858,6711
2000-02,42440,1214,243,0.492,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,0,49899,2.626256858,6711
2000-03,42440,1212.51,228.8,0.481,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,45934,15030094,2.626256858,6711
2000-04,42497,1190.17,217,0.49,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,0,9390,2.626256858,6711
2000-05,42796,1187.77,198.7826087,0.537002594,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,8500,18746,2.626256858,6711
2000-06,43084,1246.45,197.8636364,0.537326272,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,0,61313,2.626256858,6711
2000-07,43200,1244.38,191,0.537674672,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,0,9662,2.626256858,6711
2000-08,43262,1275.65,187.0869565,0.538040624,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,2500,18720,2.626256858,6711
2000-09,43148,1306.92,178.1428571,0.538590182,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,0,10263,2.626256858,6711
2000-10,42381,1306.15,186.7272727,0.539129258,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,1896,8018507,2.626256858,6711
2000-11,42095,1277.86,184.8636364,0.539774144,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,20,40218144,2.626256858,6711
2000-12,42005,1298.02,183.5714286,0.540435668,93.6,66.6,2.3,0.8,0.8,1.5,3.7,-2.5,7.3,4.5,-2.3,-1.0,5.1,0.9,1.3,227,65834882,2.626256858,6711
2001-01,42000,1287.02,184.4347826,0.541073681,88.9,69.3,4.1,5.1,5.0,3.0,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4.0,0,523,2.614424847,6838
2001-02,42083,1285.34,185.1,0.541711532,88.9,69.3,4.1,5.1,5.0,3.0,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4.0,9766,41742,2.614424847,6838
2001-03,42246,1284.85,177.0909091,0.542346167,88.9,69.3,4.1,5.1,5.0,3.0,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4.0,0,50647,2.614424847,6838
2001-04,42371,1294.67,162.0952381,0.543025165,88.9,69.3,4.1,5.1,5.0,3.0,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4.0,500,9464,2.614424847,6838
2001-05,42400,1292.34,164.2608696,0.543861155,88.9,69.3,4.1,5.1,5.0,3.0,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4.0,250,20281,2.614424847,6838
2001-06,42400,1301.15,167.7619048,0.544819602,88.9,69.3,4.1,5.1,5.0,3.0,5.9,1.9,11.4,3.9,-3.2,-0.4,4.5,1.7,4.0,13757,22541,2.614424847,6838
