date,033_temperature,033_precipitation,033_wind_speed,033_relative_humidity,033_total_insolation,033_maximum_snow_depth,031_temperature,031_precipitation,031_wind_speed,031_relative_humidity,031_total_insolation,031_maximum_snow_depth,055_temperature,055_precipitation,055_wind_speed,055_relative_humidity,055_total_insolation,055_maximum_snow_depth,054_temperature,054_precipitation,054_wind_speed,054_relative_humidity,054_total_insolation,054_maximum_snow_depth,02_temperature,02_precipitation,02_wind_speed,02_relative_humidity,02_total_insolation,02_maximum_snow_depth,061_temperature,061_precipitation,061_wind_speed,061_relative_humidity,061_total_insolation,061_maximum_snow_depth,063_temperature,063_precipitation,063_wind_speed,063_relative_humidity,063_total_insolation,063_maximum_snow_depth,041_temperature,041_precipitation,041_wind_speed,041_relative_humidity,041_total_insolation,041_maximum_snow_depth,043_temperature,043_precipitation,043_wind_speed,043_relative_humidity,043_total_insolation,043_maximum_snow_depth
1996-01-01,-7,0,1.2,45.8,0,0,-3.3,0,1.2,45,0,0,-1.2,0,1.2,43.5,0,0,-1.8,0.5,4.4,55.1,0,0,-3.2,0,1.6,26.3,7.99,0,0.7,0,1.9,64.5,0,0,-2.2,0,0.3,71.3,0,0,-2.7,0,1,59.3,9.26,0,-3.6,0,1,50,9.75,0
1996-01-02,-0.9,0,1.1,60.3,0,0,-3.9,0,0.4,73.8,0,0,-1.3,0,1.4,49.8,0,0,-6.8,0,7,40.3,0,0,0.2,0,1.8,51.5,2.04,0,0.2,0,1.4,85.5,0,0,2.3,0,0.4,77,0,0,0.2,0,2.6,76.3,8.24,0,-1.4,0,1.1,73.3,8.29,0
1996-01-03,-5.9,0.2,5.1,36.3,0,0,-2.9,0,3.1,49.5,0,0,2,0,2.6,37.8,0,0,-4.1,0,3.5,58.5,0,0,-4.5,0,5.3,42.3,9.16,0,2.6,0,5,67.8,0,0,-0.6,0.5,0.8,84,0,0.8,-2.2,0.1,4.2,55.5,6.43,0.1,-1.7,0,5.2,57,8.37,0
1996-01-04,-10.2,0,0.9,48.3,0,0,-8,0,0.6,65,0,0,-4.9,0,1,52.3,0,0,5.3,0,4.4,62,0,0,-5.4,0,1.2,38,7.68,0,-0.7,0,1.2,77,0,0,-3.7,0,0.2,82,0,0.8,-4.8,0,1.2,62.8,9.26,0,-6.4,0,0.8,63,9.46,0
1996-01-05,-2,1.3,1,68.8,0,0.5,-2,4,0.6,75,0,0,-0.1,0,0.8,51.8,0,0,0.7,0,4.3,37.8,0,0,-0.1,2,2.4,67,0.98,0,4.3,0,1.5,83,0,0,4,0,0.3,80.8,0,0,1.4,1.8,1.1,79.5,1.85,0,-1.7,0.2,1.5,76.5,2.3,0
1996-01-06,0.7,0,0.8,74.5,0,0.3,2.8,2,0.4,86.5,0,0,5.7,0,1.2,54.8,0,0,-2.7,0,1.2,58.8,0,0,4.5,0,0.6,81,6.33,0,7.2,0,0.9,93.8,0,0,5.5,0,0.2,86.3,0,0,3.7,0,2.1,88.5,3.99,0,2.8,0,1.7,91.3,1.93,0
1996-01-07,-1.6,4.3,1.1,84.3,0,0.5,2.1,0.5,0.8,87.5,0,0,1.8,0,0.5,74.8,0,0,-2.9,5,4.1,75.5,0,7.5,2.9,1.3,2.3,88,0.97,0,6.6,0,2,92,0,0,2.9,0,0.2,95.3,0,0,2.6,0.7,1.1,89.8,0.98,0,2,2,1.1,90.3,1.18,0
1996-01-08,-6.9,1,4.6,42.5,0,1.7,-3.7,0.5,3.6,53.5,0,0,-0.3,0,3.7,36.8,0,0,-4.9,0,6.5,65.4,0,7.3,-5.7,0.6,5.9,48.5,8.65,0.3,-0.9,2.5,5.2,84.3,0,1.5,-2.5,4.2,1.1,74.3,0,1,-3.4,0.3,5.4,52.5,9.16,0,-3.4,1.5,5.5,60,7.36,0.4
1996-01-09,-9.8,0,2.6,36.3,0,0.8,-5.8,0,1.6,59.8,0,0,-5.1,0,1.7,49,0,0,-3,0,3.7,60.4,0,1.5,-6.5,0,3.2,42.8,9.04,0,-0.9,1,2.7,87.3,0,1.2,-4.3,4.2,0.2,87.8,0,8.2,-4.4,0,1.8,61,6.71,0,-5.8,0,2,61.3,8.46,0
1996-01-10,-11.2,0,0.9,58.5,0,0.4,-4.4,0,1,54.5,0,0,-2.4,0,1.5,52.8,0,0,-1.2,0,0.9,71.3,0,0,-4.3,0,2,26,8.83,0,1.7,0,2.4,78,0,0,-1.4,0,0.2,87.8,0,0,-3.8,0,1.1,73.5,10.12,0,-4.5,0,1.6,66.5,10.46,0
1996-01-11,-9.8,0,0.5,64.8,0,0,-5.5,0,0.6,71.3,0,0,-3.9,0,1,53.5,0,0,6.5,0,3.4,55,0,0,-3.1,0,1.1,41.8,6.62,0,-0.4,0,1.9,80.5,0,0,-1.7,0,0.3,82.3,0,0,-4.4,0,1,70.3,10.34,0,-4.8,0,0.7,68.3,9.82,0
1996-01-12,-6,0,0.4,64.3,0,0,-2.4,0,0.5,69.5,0,0,-2.7,0,1,55.5,0,0,3.9,0,1.2,66,0,0,0.5,0,1.1,43.5,9.07,0,0.1,0,1.8,72.8,0,0,-0.4,0,0.2,75.3,0,0,-0.2,0,1.7,56.8,9.98,0,-1.4,0,1.1,67.5,10.02,0
