date,avg_price,CPI,consumer_price_growth_rate,food_non_alcoholic_beverages,Liquor_tobacco,clothes_shoes,housing_water_electricity_fuel,household_goods_housekeeping_services,sanitation,traffic,communication,entertainment_culture,education,food_accommodation,other_goods_services,033_Production_per_cultivation_area,031_Production_per_cultivation_area,055_Production_per_cultivation_area,054_Production_per_cultivation_area,02_Production_per_cultivation_area,061_Production_per_cultivation_area,063_Production_per_cultivation_area,041_Production_per_cultivation_area,043_Production_per_cultivation_area,domestic_oil,international_oil,export,import
1996-01-03,33610,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-04,33760,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-05,33760,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-08,33910,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-09,33993,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-10,34143,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-11,34243,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-12,34277,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-15,34393,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-16,34410,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-17,34443,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-18,34443,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-19,34485,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-22,34485,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-23,34530,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-24,34613,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-25,34645,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-26,34645,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-29,34628,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-30,34637,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-01-31,34653,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-01,34628,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-02,34628,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-05,34612,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-06,34628,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-07,34595,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-08,34478,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-09,34478,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-12,34483,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-13,34450,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-14,34413,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-15,34397,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-16,34397,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-21,34222,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-22,34263,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-23,34263,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-26,34212,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-27,34212,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-02-28,34185,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-03-04,34115,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-03-05,34082,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-03-06,34065,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
1996-03-07,34065,57.5,4.9,3.0,9.1,1.2,4.8,1.9,4.6,7.4,-0.4,3.9,11.3,5.6,5.8,5.82 ,4.13 ,3.96 ,4.82 ,2.48 ,4.36 ,1.91 ,5.66 ,12.71 ,,,,
